time_period,rainfall,mean_temperature,disease_cases,population,location
2022-06,3.025,19.3,2879,561230,N9pKxz10nwa
2022-07,20.073,20.93,2805,561230,N9pKxz10nwa
2022-08,46.519,20.99,3412,561230,N9pKxz10nwa
2022-09,34.151,21.39,7059,561230,N9pKxz10nwa
2022-10,39.475,22.01,4297,561230,N9pKxz10nwa
2022-11,190.643,19.86,2393,561230,N9pKxz10nwa
2022-12,128.513,19.48,2518,561230,N9pKxz10nwa
2023-01,45.026,19.97,1712,527013,N9pKxz10nwa
2023-02,54.237,21.11,2127,527013,N9pKxz10nwa
2023-03,166.486,20.12,1031,527013,N9pKxz10nwa
2023-04,179.932,19.72,1145,527013,N9pKxz10nwa
2023-05,65.837,20.58,1300,527013,N9pKxz10nwa
2023-06,3.604,21.31,1985,527013,N9pKxz10nwa
2023-07,0.201,21.81,1795,527013,N9pKxz10nwa
2023-08,0.779,23.51,2724,527013,N9pKxz10nwa
2023-09,106.998,21.42,8970,527013,N9pKxz10nwa
2023-10,84.06,21.34,10379,527013,N9pKxz10nwa
2023-11,229.85,19.47,7318,527013,N9pKxz10nwa
2023-12,117.588,20.69,3466,527013,N9pKxz10nwa
2024-01,169.215,20.56,2852,450145.91,N9pKxz10nwa
2024-02,80.226,21.25,1309,448916,N9pKxz10nwa
2024-03,95.401,21.36,1262,450145.91,N9pKxz10nwa
2024-04,184.485,20.39,1542,450145.91,N9pKxz10nwa
2024-05,31.286,21.4,1997,450145.91,N9pKxz10nwa
2024-06,1.148,21.51,3419,450145.91,N9pKxz10nwa
2024-07,1.159,22.95,5928,450145.91,N9pKxz10nwa
2024-08,2.015,23.38,10739,450145.91,N9pKxz10nwa
2024-09,33.989,23.5,26886,450145.91,N9pKxz10nwa
2024-10,91.024,21.33,33366,450145.91,N9pKxz10nwa
2024-11,129.276,20.25,7594,450145.91,N9pKxz10nwa
2024-12,118.611,20.52,4506,450145.91,N9pKxz10nwa
2015-01,48.03,21.72,73770,850101,VqMwIodXtFZ
2015-02,79.09,21.92,39993,850101,VqMwIodXtFZ
2015-03,123.783,21.78,27035,850101,VqMwIodXtFZ
2015-04,177.515,20.37,30954,850101,VqMwIodXtFZ
2015-05,56.421,21.21,35703,850101,VqMwIodXtFZ
2015-06,15.742,22.18,55399,850101,VqMwIodXtFZ
2015-07,2.499,22.92,43031,850101,VqMwIodXtFZ
2015-08,11.317,23.12,13768,850101,VqMwIodXtFZ
2015-09,61.706,22.31,15736,850101,VqMwIodXtFZ
2015-10,192.299,21.26,15599,850101,VqMwIodXtFZ
2015-11,173.467,20.41,15501,850101,VqMwIodXtFZ
2015-12,107.109,20.85,18117,850101,VqMwIodXtFZ
2016-01,78.463,21.56,9358,948499.53,VqMwIodXtFZ
2016-02,54.422,22.77,7305,945908,VqMwIodXtFZ
2016-03,70.625,23,3510,948499.53,VqMwIodXtFZ
2016-04,180.607,21.06,3704,948499.53,VqMwIodXtFZ
2016-05,37.503,21.92,5548,948499.53,VqMwIodXtFZ
2016-06,3.511,22.04,8166,948499.53,VqMwIodXtFZ
2016-07,0.694,22.86,4208,948499.53,VqMwIodXtFZ
2016-08,5.496,23.37,2764,948499.53,VqMwIodXtFZ
2016-09,54.264,22.78,3688,948499.53,VqMwIodXtFZ
2016-10,89.373,22.01,7478,948499.53,VqMwIodXtFZ
2016-11,156.855,20.92,4723,948499.53,VqMwIodXtFZ
2016-12,86.966,21.18,7935,948499.53,VqMwIodXtFZ
2017-01,64.314,22.11,6170,889899,VqMwIodXtFZ
2017-02,93.236,21.68,4195,889899,VqMwIodXtFZ
2017-03,129.445,21.43,3837,889899,VqMwIodXtFZ
2017-04,115.023,21.23,6952,889899,VqMwIodXtFZ
2017-05,79.327,21.16,17482,889899,VqMwIodXtFZ
2017-06,1.565,22.65,19427,889899,VqMwIodXtFZ
2017-07,1.295,23.33,9819,889899,VqMwIodXtFZ
2017-08,26.967,22.61,3855,889899,VqMwIodXtFZ
2017-09,78.531,21.62,3953,889899,VqMwIodXtFZ
2017-10,107.386,21.73,8063,889899,VqMwIodXtFZ
2017-11,120.256,20.76,8158,889899,VqMwIodXtFZ
2017-12,96.555,21.29,6442,889899,VqMwIodXtFZ
2018-01,146.862,20.65,5163,1039274,VqMwIodXtFZ
2018-02,93.22,21.99,3905,1039274,VqMwIodXtFZ
2018-03,149.635,20.92,3526,1039274,VqMwIodXtFZ
2018-04,281.517,20.01,3156,1039274,VqMwIodXtFZ
2018-05,69.452,20.64,3984,1039274,VqMwIodXtFZ
2018-06,5.862,21.48,5006,1039274,VqMwIodXtFZ
2018-07,3.935,21.43,4480,1039274,VqMwIodXtFZ
2018-08,94.308,21.3,2600,1039274,VqMwIodXtFZ
2018-09,41.459,21.45,2404,1039274,VqMwIodXtFZ
2018-10,106.22,21.38,1655,1039274,VqMwIodXtFZ
2018-11,90.061,21.49,2896,1039274,VqMwIodXtFZ
2018-12,117.654,20.74,4608,1039274,VqMwIodXtFZ
2019-01,79.386,21.77,3927,967626,VqMwIodXtFZ
2019-02,74.968,22.36,1978,967626,VqMwIodXtFZ
2019-03,92.779,22.42,1802,967626,VqMwIodXtFZ
2019-04,125.509,21.61,2299,967626,VqMwIodXtFZ
2019-05,82.588,20.97,1969,967626,VqMwIodXtFZ
2019-06,33.536,21.81,2426,967626,VqMwIodXtFZ
2019-07,11.825,22.26,4074,967626,VqMwIodXtFZ
2019-08,34.79,22.41,2425,967626,VqMwIodXtFZ
2019-09,65.451,21.8,1973,967626,VqMwIodXtFZ
2019-10,192.111,20.39,1494,967626,VqMwIodXtFZ
